Subject_ID,Content_ID,Distortion_ID,Q1_Response,Q2_Confidence,Q3_MOS
F001,E5,MLBC_2,mocking_stupidity,75,3.9
F001,E8,DS_LIGHT,cursing,50,4
F001,E7,RD_360P,agreement,75,2.8
F001,E3,ORIG,yelling,100,4.6
F001,E10,MLBC_2,gratitude,100,2.5
F001,E9,DS_MED,disdain,75,4.4
F001,E4,MLBC_2,scolding_viewer,100,2.8
F001,E6,HLBC_1,praying,75,2.3
F001,E1,MLBC_2,waving,100,2.7
F001,E2,LFR_10,praising,100,4.3
F001,E10,MLBC_1,gratitude,75,3.3
F001,E2,LFR_15,praising,100,4.4
F001,E6,SLBC_1,praying,75,1.9
F001,E8,LFR_10,cursing,75,4.2
F001,E3,SLBC_1,yelling,75,1.4
F001,E4,GQ_MED,scolding_viewer,50,2.1
F001,E1,RD_720P,waving,100,3.6
F001,E5,RD_720P,mocking_stupidity,75,4.2
F001,E9,ORIG,disdain,75,3.9
F001,E7,MLBC_2,agreement,75,2.8
F001,E1,DS_LIGHT,waving,100,3.7
F001,E7,RD_720P,agreement,75,3.9
F001,E8,GQ_LIGHT,cursing,75,2.8
F001,E9,GQ_LIGHT,disdain,75,2.7
F001,E5,LFR_10,mocking_stupidity,75,2
F001,E4,DS_MED,scolding_viewer,75,3.7
F001,E2,GQ_LIGHT,praising,100,3.4
F001,E10,LFR_10,gratitude,100,2.7
F001,E3,MLBC_1,yelling,75,2.7
F001,E6,GQ_LIGHT,praying,75,2.8
F001,E10,DS_LIGHT,gratitude,100,4.2
F001,E1,DS_MED,waving,100,4.3
F001,E7,GQ_LIGHT,agreement,100,3.7
F001,E3,RD_360P,yelling,75,2.4
F001,E2,DS_LIGHT,praising,100,4.1
F001,E9,HLBC_2,disdain,75,1.4
F001,E5,SLBC_1,mocking_stupidity,75,1.5
F001,E6,RD_360P,praying,75,2.6
F001,E8,MLBC_1,cursing,75,3.5
F001,E4,LFR_10,scolding_viewer,75,3.2
F001,E9,MLBC_1,disdain,75,2.9
F001,E3,HLBC_2,yelling,75,1.5
F001,E5,HLBC_1,mocking_stupidity,75,2.2
F001,E4,SLBC_1,scolding_viewer,75,1.4
F001,E7,HLBC_2,agreement,75,2.3
F001,E6,LFR_10,begging,75,4.3
F001,E2,MLBC_2,praising,100,2.6
F001,E1,GQ_LIGHT,waving,100,3.4
F001,E8,DS_MED,cursing,75,3.8
F001,E10,GQ_LIGHT,gratitude,75,3.5
F002,E6,RD_360P,begging,75,5
F002,E9,MLBC_2,disdain,50,4.5
F002,E7,DS_LIGHT,disapproval,25,3.6
F002,E8,DS_MED,cheering,75,5
F002,E5,HLBC_1,thinking,100,5
F002,E1,LFR_10,waving,100,5
F002,E4,MLBC_2,scolding_viewer,50,4.6
F002,E3,MLBC_2,yelling,100,5
F002,E10,LFR_10,apologizing,75,5
F002,E2,ORIG,praising,100,5
F002,E6,MLBC_2,begging,75,4.3
F002,E9,MLBC_1,disdain,50,5
F002,E5,SLBC_1,thinking,100,3.6
F002,E10,DS_MED,apologizing,50,5
F002,E4,RD_720P,scolding_viewer,25,4.8
F002,E7,LFR_10,disapproval,25,4
F002,E1,LFR_15,waving,100,5
F002,E3,GQ_MED,yelling,100,5
F002,E2,SLBC_1,praising,100,4.2
F002,E8,ORIG,cheering,75,5
F002,E5,GQ_LIGHT,thinking,100,5
F002,E4,LFR_10,scolding_viewer,25,4.8
F002,E10,MLBC_1,apologizing,50,5
F002,E3,DS_MED,none,25,4.1
F002,E1,GQ_LIGHT,waving,100,5
F002,E8,GQ_LIGHT,cheering,75,4.7
F002,E7,GQ_LIGHT,disapproval,25,4.7
F002,E6,RD_720P,begging,75,4.5
F002,E2,MLBC_1,praising,100,5
F002,E9,LFR_10,disdain,50,5
F002,E7,MLBC_1,disapproval,25,5
F002,E8,HLBC_2,cheering,75,4.3
F002,E1,DS_LIGHT,waving,100,5
F002,E4,SLBC_1,scolding_viewer,25,3
F002,E10,ORIG,apologizing,50,4
F002,E5,RD_360P,thinking,75,3.5
F002,E9,DS_LIGHT,disdain,25,5
F002,E3,LFR_10,yelling,100,5
F002,E6,GQ_LIGHT,begging,50,4.5
F002,E2,RD_360P,praising,100,4.5
F002,E4,HLBC_1,scolding_viewer,25,3.8
F002,E8,MLBC_1,cheering,50,4.2
F002,E10,DS_LIGHT,apologizing,50,4.6
F002,E2,HLBC_2,praising,100,3.5
F002,E5,LFR_10,thinking,100,4.8
F002,E1,MLBC_2,waving,100,4.3
F002,E3,SLBC_1,yelling,75,2.3
F002,E7,DS_MED,disapproval,25,4.4
F002,E6,HLBC_2,begging,50,2.7
F002,E9,GQ_LIGHT,disdain,25,4.1
F003,E7,DS_LIGHT,agreement,75,4.5
F003,E8,ORIG,cursing,100,4.9
F003,E6,RD_360P,begging,75,2.5
F003,E9,MLBC_2,disdain,75,3.2
F003,E10,DS_LIGHT,gratitude,75,4.3
F003,E1,MLBC_2,waving,100,2.3
F003,E5,ORIG,mocking_stupidity,50,3.8
F003,E4,DS_LIGHT,scolding_viewer,75,4.9
F003,E3,HLBC_2,yelling,100,1.1
F003,E2,ORIG,praising,100,4.8
F003,E10,LFR_15,gratitude,100,4
F003,E6,RD_720P,begging,75,2.8
F003,E7,RD_720P,agreement,100,3.3
F003,E4,DS_MED,scolding_viewer,100,4.8
F003,E8,RD_360P,none,75,2.5
F003,E2,HLBC_1,praising,100,2.1
F003,E9,RD_360P,disdain,75,1.5
F003,E3,DS_LIGHT,none,50,5
F003,E5,DS_MED,mocking_stupidity,75,3.7
F003,E1,DS_LIGHT,waving,100,4
F003,E6,ORIG,begging,75,5
F003,E3,ORIG,yelling,50,5
F003,E5,DS_LIGHT,thinking,75,4.5
F003,E1,LFR_15,waving,100,4.6
F003,E10,MLBC_1,gratitude,50,3.4
F003,E2,DS_LIGHT,praising,75,4.6
F003,E4,HLBC_2,scolding_viewer,75,1
F003,E7,LFR_10,none,50,3.2
F003,E9,HLBC_2,disdain,100,1.4
F003,E8,DS_MED,none,50,4.7
F003,E1,DS_MED,waving,75,4.6
F003,E9,GQ_LIGHT,disdain,75,3.8
F003,E3,RD_360P,yelling,75,1.8
F003,E4,LFR_15,talking,25,3
